keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Managua',en,Nicaragua,#E02752,#E02752,2,0.00015466676812806655
'Nicaragua',en,Nicaragua,#E02752,#E02752,2,0.00015466676812806655
'El Salvador',en,El Salvador,#7E5D14,#7E5D14,2,0.00015574519089999538
'San Salvador',en,El Salvador,#7E5D14,#7E5D14,2,0.00015574519089999538
'Kyrgyzstan',en,Kyrgyzstan,#0E060A,#0E060A,2,0.00015833306944488425
'Bishkek',en,Kyrgyzstan,#0E060A,#0E060A,2,0.00015833306944488425
'Eritrea',en,Eritrea,#86C96C,#86C96C,2,0.00016104973505708085
'Asmara',en,Eritrea,#86C96C,#86C96C,2,0.00016104973505708085
'Turkmenistan',en,Turkmenistan,#6357B5,#6357B5,2,0.00017091364280552693
'Ashgabat',en,Turkmenistan,#6357B5,#6357B5,2,0.00017091364280552693
'Copenhagen',en,Denmark,#1ABA80,#1ABA80,2,0.00017248974807182335
'Denmark',en,Denmark,#1ABA80,#1ABA80,2,0.00017248974807182335
'Singapore',en,Singapore,#D6E34D,#D6E34D,2,0.00017734659696708944
'Singapore',en,Singapore,#D6E34D,#D6E34D,2,0.00017734659696708944
'Finland',en,Finland,#AE72A0,#AE72A0,2,0.00018122343943965713
'Helsinki',en,Finland,#AE72A0,#AE72A0,2,0.00018122343943965713
'Bratislava',en,Slovakia,#B012B1,#B012B1,2,0.00018358692501263538
'Slovakia',en,Slovakia,#B012B1,#B012B1,2,0.00018358692501263538
'Norway',en,Norway,#3F815F,#3F815F,2,0.00018817026247493573
'Oslo',en,Norway,#3F815F,#3F815F,2,0.00018817026247493573
'Republic of the Congo',en,Republic of the Congo,#C6FC77,#C6FC77,2,0.00019068092731185847
'Brazzaville',en,Republic of the Congo,#C6FC77,#C6FC77,2,0.00019068092731185847
'Costa Rica',en,Costa Rica,#C834D8,#C834D8,2,0.00020002236250012752
'San Jose',en,Costa Rica,#C834D8,#C834D8,2,0.00020002236250012752
'New Zealand',en,New Zealand,#3EC456,#3EC456,2,0.00020468734008801556
'Wellington',en,New Zealand,#3EC456,#3EC456,2,0.00020468734008801556
'Dublin',en,Ireland,#CC8D03,#CC8D03,2,0.00020603662589476556
'Ireland',en,Ireland,#CC8D03,#CC8D03,2,0.00020603662589476556
'Oman',en,Oman,#374CAA,#374CAA,2,0.00020706150120002493
'Muscat',en,Oman,#374CAA,#374CAA,2,0.00020706150120002493
'Liberia',en,Liberia,#552998,#552998,2,0.00020751292234845694
'Monrovia',en,Liberia,#552998,#552998,2,0.00020751292234845694
'Bangui',en,Central African Republic,#5CAF96,#5CAF96,2,0.00021429901613178703
'Central African Republic',en,Central African Republic,#5CAF96,#5CAF96,2,0.00021429901613178703
'East Jerusalem',en,Palestinian Territory,#598F45,#598F45,2,0.0002188621052739858
'Palestinian Territory',en,Palestinian Territory,#598F45,#598F45,2,0.0002188621052739858
'Mauritania',en,Mauritania,#D472BB,#D472BB,2,0.00022710142054209562
'Nouakchott',en,Mauritania,#D472BB,#D472BB,2,0.00022710142054209562
'Panama',en,Panama,#85606F,#85606F,2,0.00023941355171679866
'Panama City',en,Panama,#85606F,#85606F,2,0.00023941355171679866
'Kuwait',en,Kuwait,#4CD11D,#4CD11D,2,0.0002417030006702424
'Kuwait City',en,Kuwait,#4CD11D,#4CD11D,2,0.0002417030006702424
'Croatia',en,Croatia,#EA00D7,#EA00D7,2,0.00025827560227933386
'Zagreb',en,Croatia,#EA00D7,#EA00D7,2,0.00025827560227933386
'Tbilisi',en,Georgia,#7AFA23,#7AFA23,2,0.00026994196247806724
'Georgia',en,Georgia,#7AFA23,#7AFA23,2,0.00026994196247806724
'Moldova',en,Moldova,#DBC4B7,#DBC4B7,2,0.0002820172013571796
'Chisinau',en,Moldova,#DBC4B7,#DBC4B7,2,0.0002820172013571796
